movieTitle,actor,profit,rating
"Soul Surfer","AnnaSophia Robb",29158652,7
"Because of Winn-Dixie","AnnaSophia Robb",18508485,6.2
"Clear and Present Danger","Anne Archer",145500000,6.6
"Ella Enchanted","Anne Hathaway",-12086323,6.2
"Bride Wars","Anne Hathaway",85150424,6.1
"Rachel Getting Married","Anne Hathaway",5475475,6.2
Volcano,"Anne Heche",30100000,5.5
Psycho,"Anne Heche",17226218,5.1
"The Kids Are All Right","Annette Bening",32275469,6.5
"The Women","Annette Bening",34103808,4.9
"In Dreams","Annette Bening",-17982631,5.5
"Cat People","Annette O'Toole",8500000,5.9
"Baby Driver","Ansel Elgort",194104185,7.4
"Cradle 2 the Grave","Anthony Anderson",31434942,5.8
"Two Can Play That Game","Anthony Anderson",9391450,6.5
"Hustle & Flow","Anthony Anderson",20791783,7
"Agent Cody Banks 2: Destination London","Anthony Anderson",2703083,5.1
"Young Sherlock Holmes","Anthony Higgins",1739000,6.9
"The Remains of the Day","Anthony Hopkins",48954968,7.6
Misconduct,"Anthony Hopkins",-8647489,5.5
"Autumn in New York","Anthony LaPaglia",50717684,6
"World Trade Center","Anthony Piccininni",98295654,6
"The Marine","Anthony Ray Parker",7165608,5.4
"Swiss Army Man","Antonia Ribero",2837111,6.9
Assassins,"Antonio Banderas",33306268,6.2
"Scary Movie 2","Antony Acker",96189101,5.6
"Jab Tak Hai Jaan","Anupam Kher",-3393334,7
Sultan,"Anushka Sharma",61989781,7.1
"Jab Tak Hai Jaan","Anushka Sharma",-3393334,7
"The Witch","Anya Taylor-Joy",36954520,6.6
"Stone Cold","Arabella Holzbog",-15713686,5.8
"The Sitter","Ari Graynor",13749404,5.5
"Spaced Invaders","Ariana Richards",12000000,4.7
"The Grudge 2","Arielle Kebbel",50743839,5.4
Mirrors,"Arika Gluck",42220596,6.1
"The Road to El Dorado","Armand Assante",-29300000,7.1
"On the Basis of Sex","Armie Hammer",18803610,7.5
"Total Recall","Arnold Schwarzenegger",196400000,7.2
"Kindergarten Cop","Arnold Schwarzenegger",176000000,5.9
"The Terminator","Arnold Schwarzenegger",71619031,7.5
"The Mummy Returns","Arnold Vosloo",337040395,6.2
Underclassman,"Art Bonilla",-19345223,5.1
Catch-22,"Art Garfunkel",6911670,6.9
Breathless,"Art Metrano",12910002,5.8
Harper,"Arthur Hill",8500000,6.6
"Dirty Work","Artie Lange",-2979919,6.4
"Aliens in the Attic","Ashley Boettcher",14551283,5.4
"Dolphin Tale","Ashley Judd",59068724,6.8
Twisted,"Ashley Judd",-9880152,5.3
"High Crimes","Ashley Judd",21781100,6.2
"New York Minute","Ashley Olsen",-18784118,5.8
"Aliens in the Attic","Ashley Tisdale",14551283,5.4
Jobs,"Ashton Kutcher",25402515,6.1
"Safety Not Guaranteed","Aubrey Plaza",3672318,6.9
"War and Peace","Audrey Hepburn",6524028,6.7
"Robin and Marian","Audrey Hepburn",3000000,6.6
"Free Willy","August Schellenberg",133698625,6
"Aliens in the Attic","Austin Butler",14551283,5.4
"The Big Hit","Avery Brooks",14066941,5.9
"Never Say Never Again","Barbara Carrera",124000000,6.1
"Lone Wolf McQuade","Barbara Carrera",7232628,6
"Black Swan","Barbara Hershey",318266710,7.6
Kites,"Bárbara Mori",7955193,5.9
Hostel,"Barbara Nedeljakova",77441110,5.8
"The Brothers Grimm","Barbora Lukesová",25299638,5.7
"The Mirror Has Two Faces","Barbra Streisand",-732531,6.8
"The Prince of Tides","Barbra Streisand",44787599,6.6
"The Lost Boys","Barnard Hughes",23722567,6.9
Dogma,"Barret Hackney",33948865,6.9
"All Saints","Barry Corbin",3941994,6.1
"Saving Private Ryan","Barry Pepper",420035085,8.1
"Beyond the Mat","Barry W. Blaustein",1547570,7.7
Boogeyman,"Barry Watson",47192859,4.8
Underclassman,"Bart McCarthy",-19345223,5.1
"Safety Not Guaranteed","Basil Harris",3672318,6.9
Poltergeist,"Beatrice Straight",111006019,7.1
"Live by Night","Ben Affleck",-43225568,6.2
Daredevil,"Ben Affleck",102782518,5.1
"Reindeer Games","Ben Affleck",-12639221,5.5
"Good Will Hunting","Ben Affleck",215925989,8.1
Armageddon,"Ben Affleck",414600000,6.7
Paycheck,"Ben Affleck",38819789,6.1
"200 Cigarettes","Ben Affleck",852450,5.9
Gigli,"Ben Affleck",-46873998,3.6
"Lost Souls","Ben Chaplin",3320293,4.9
"First Knight","Ben Cross",52361412,6
"Can You Ever Forgive Me?","Ben Falcone",1752387,6.9
"The Messenger","Ben Foster",-4755048,6.7
"The Thomas Crown Affair","Ben Gazzara",76304264,6.7
"Rules of Engagement","Ben Kingsley",11719931,6.1
"Suspect Zero","Ben Kingsley",-18287436,5.5
"The Wackness","Ben Kingsley",-2669988,6.4
Species,"Ben Kingsley",78354449,5.7
"Darkest Hour","Ben Mendelsohn",120807172,7.3
"Manchester by the Sea","Ben O'Brien",69233867,7.5
Zoolander,"Ben Stiller",32780981,6.2
"DodgeBall: A True Underdog Story","Ben Stiller",137791704,6.2
"There's Something About Mary","Ben Stiller",347884651,6.5
Duplex,"Ben Stiller",-29929349,6.1
"Fear and Loathing in Las Vegas","Benicio Del Toro",-4788097,7.2
Traffic,"Benicio Del Toro",160300000,7
"The Order","Benno Fürmann",-23440253,5
"Charlie's Angels: Full Throttle","Bernie Mac",107200000,5.4
"Head of State","Bernie Mac",3083765,5.5
"Timber Falls","Beth Broderick",-2528752,5.3
Thinner,"Bethany Joy Lenz",1171475,5.8
"Friday the 13th","Betsy Palmer",59204601,6.3
"The Bucket List","Beverly Todd",129807445,7.1
Obsessed,Beyoncé,53964713,5.6
"Hostel: Part II","Bijou Phillips",26106409,5.7
"Tim and Eric's Billion Dollar Movie","Bill A. Jones",-2776348,5.7
"Air Bud","Bill Cobbs",24788649,5.3
"The Bodyguard","Bill Cobbs",385899039,6.5
"Hot Rod","Bill Hader",-10665599,6.3
"The Skeleton Twins","Bill Hader",4797192,6.7
"Rachel Getting Married","Bill Irwin",5475475,6.2
"First Blood","Bill McKinney",111212904,7.3
Ghostbusters,"Bill Murray",265212467,7.4
Tombstone,"Bill Paxton",31505065,7.5
Spaceballs,"Bill Pullman",15419483,6.8
"Titan A.E.","Bill Pullman",-38248021,6.5
Bandits,"Billy Bob Thornton",-3476729,6.3
"Bad Santa","Billy Bob Thornton",59147031,6.5
"Friday Night Lights","Billy Bob Thornton",31950770,6.9
Armageddon,"Billy Bob Thornton",414600000,6.7
"Red Riding Hood","Billy Burke",49678442,5.9
Sleepers,"Billy Crudup",121600852,7.5
"Almost Famous","Billy Crudup",-12628809,7.5
Jackie,"Billy Crudup",27588512,6.4
"Analyze This","Billy Crystal",146885658,6.4
"Analyze That","Billy Crystal",-5005243,5.7
"The Ladies Man","Billy Dee Williams",2719474,5.2
"The Battle of Shaker Heights","Billy Kay",-160855,5.8
"Tales from the Crypt: Demon Knight","Billy Zane",9089146,6.5
"The Sisterhood of the Traveling Pants","Blake Lively",16560117,6.5
"The Sisterhood of the Traveling Pants 2","Blake Lively",17270131,6.2
"The Love Letter","Blythe Danner",-5989020,5.6
"The Prince of Tides","Blythe Danner",44787599,6.6
"Hearts Beat Loud","Blythe Danner",420962,7.4
"Hollywood Ending","Bob Dorian",-1160617,6.5
"The Blair Witch Project","Bob Griffin",247700000,6.2
"Super Mario Bros.","Bob Hoskins",-21155093,4.1
Hook,"Bob Hoskins",230854823,6.8
"Tim and Eric's Billion Dollar Movie","Bob Odenkirk",-2776348,5.7
"The Post","Bob Odenkirk",129748880,7
"Our Idiot Brother","Bob Stephenson",20861249,6.1
"Home on the Range","Bobby Block",-33517539,5.9
Annie,"Bobby Cannavale",74829625,6.1
"Martian Child","Bobby Coleman",-17647911,6.7
"The Omen","Bohumil Svarc",94295584,5.4
Freeway,"Bokeem Woodbine",-2704507,6.5
"Random Hearts","Bonnie Hunt",-800000,5.4
"Cheaper by the Dozen 2","Bonnie Hunt",75015330,5.9
"House Party 2","Bowlegged Lou",14438638,4.9
"Bride of Chucky","Brad Dourif",25692188,5.6
Dune,"Brad Dourif",-17552529,6.4
"Pet Sematary","Brad Greenquist",45969179,6.5
"Flight of the Intruder","Brad Johnson",-20528560,5.7
"Fight Club","Brad Pitt",35851705,8.4
"Deuces Wild","Brad Renfro",-3755382,5.5
Jumanji,"Bradley Pierce",197758310,7.2
Bernie,"Brady Coleman",4106975,6.6
ATL,"Brandon Bernard Benton",4170563,6.8
Hud,"Brandon De Wilde",7500000,7.5
"Me and You and Everyone We Know","Brandon Ratcliff",7615464,7.2
"Superman Returns","Brandon Routh",142085065,5.5
"I Still Know What You Did Last Summer","Brandy Norwood",16020622,5.2
Rebound,"Breckin Meyer",-27507986,5.2
"Just My Luck","Bree Turner",10159905,6
"The Ugly Truth","Bree Turner",167298907,6.5
"Dudley Do-Right","Brendan Fraser",-12181208,3.7
Monkeybone,"Brendan Fraser",-69590483,4.4
"The Nut Job","Brendan Fraser",92529966,5.7
"The Quiet American","Brendan Fraser",6348203,6.7
"The Mummy Returns","Brendan Fraser",337040395,6.2
"Blast from the Past","Brendan Fraser",-8386380,6.4
"Live by Night","Brendan Gleeson",-43225568,6.2
Switchback,"Brent Hinkley",-31495558,6
"Meet the Blacks","Bresha Webb",8197072,4.3
"Bad Santa","Brett Kelly",59147031,6.5
"Stone Cold","Brian Bosworth",-15713686,5.8
"The Bourne Supremacy","Brian Cox",226001124,7.3
"First Blood","Brian Dennehy",111212904,7.3
"Hobo with a Shotgun","Brian Downey",-2165047,5.9
"Timber Falls","Brianna Brown",-2528752,5.3
"Patti Cake$","Bridget Everett",471090,7
Monkeybone,"Bridget Fonda",-69590483,4.4
"City Hall","Bridget Fonda",-19721945,6.1
"Kiss of the Dragon","Bridget Fonda",11833473,6.6
"Extreme Ops","Bridgette Wilson-Sampras",-27375529,4.7
"The Spectacular Now","Brie Larson",4416951,6.6
Room,"Brie Larson",23262783,8.1
Arbitrage,"Brit Marling",23830713,6.2
"The First Time","Britt Robertson",-1982939,7
"Man on the Moon","Brittany Colonna",-4592365,7.2
"Little Black Book","Brittany Murphy",-8241629,5.3
"Girl, Interrupted","Brittany Murphy",4871190,7.6
"The Dead Zone","Brooke Adams",10766000,7
"A Nightmare on Elm Street 4: The Dream Master","Brooke Bundy",36369899,5.8
"The Florida Project","Brooklynn Prince",9295324,7.4
"The Lord of the Rings: The Two Towers","Bruce Allpress",840699645,8.3
Tron,"Bruce Boxleitner",9918576,6.7
Crazy/Beautiful,"Bruce Davison",6929123,6.5
Monster,"Bruce Dern",59240813,7.2
"Swept Away","Bruce Greenwood",-9401355,4.6
Bandits,"Bruce Willis",-3476729,6.3
"The Whole Nine Yards","Bruce Willis",61527867,6.4
"What Just Happened","Bruce Willis",-24587877,5.4
"Cop Out","Bruce Willis",18909910,5.4
"The Kid","Bruce Willis",4688384,6.2
Armageddon,"Bruce Willis",414600000,6.7
"Death Wish","Bruce Willis",18575965,5.9
"Mercury Rising","Bruce Willis",-27016668,6.2
"The Sixth Sense","Bruce Willis",632806292,7.9
"The Jackal","Bruce Willis",99356941,6.2
Sorcerer,"Bruno Cremer",-9594032,7.5
"Bride Wars","Bryan Greenberg",85150424,6.1
"Quest for Camelot","Bryan White",-1827500,6.9
Dogma,"Bud Cort",33948865,6.9
Malone,"Burt Reynolds",-7000000,6.5
"The Best Little Whorehouse in Texas","Burt Reynolds",49201637,6
"The Longest Yard","Burt Reynolds",109558505,6.4
"The Outsiders","C. Thomas Howell",15697647,7.3
"Remember Me","Caitlyn Rund",40506120,7
Beloved,"Calen Johnson",-30147513,5.6
"Dead Like Me: Life After Death","Callum Blue",-5000000,5.8
Plush,"Cam Gigandet",-1971136,5.8
"The Unborn","Cam Gigandet",62208812,5
Mirrors,"Cameron Boyce",42220596,6.1
"American Splendor","Cameron Carter",6685632,7.3
"Charlie's Angels: Full Throttle","Cameron Diaz",107200000,5.4
"There's Something About Mary","Cameron Diaz",347884651,6.5
"The Holiday","Cameron Diaz",120190324,7
"Death Wish","Camila Morrone",18575965,5.9
"The Ballad of Jack and Rose","Camilla Belle",-373742,6.4
"When a Stranger Calls","Camilla Belle",52215435,5.6
"The Exorcism of Emily Rose","Campbell Scott",126529078,6.4
"Cop Car","Camryn Manheim",-4856342,5.8
"Book Club","Candice Bergen",81310059,6.1
"The Country Bears","Candy Ford",-3011004,4.4
"All Saints","Cara Buono",3941994,6.1
"Let Me In","Cara Buono",8270399,6.7
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Carey Means",4770368,6.4
"Never Let Me Go","Carey Mulligan",-3826282,6.8
"The One","Carla Gugino",23689126,5.9
"The Omen","Carlo Sabatini",94295584,5.4
"Our Family Wedding","Carlos Mencia",7410546,5.4
"Away We Go","Carmen Ejogo",-10891984,6.8
"Ocean's Eleven","Carol Florence",365728529,7.3
"Out Cold","Caroline Dhavernas",3786394,5.8
"White Squall","Caroline Goodall",-27770700,6.3
"Heavy Metal","Caroline Semple",10271091,6.3
"Small Time Crooks","Carolyn Saxon",11934477,6.5
Aliens,"Carrie Henn",166316455,7.9
"Damsels in Distress","Carrie MacLemore",-1675701,5.5
"Pale Rider","Carrie Snodgress",34510568,7.1
"Soul Surfer","Carrie Underwood",29158652,7
"Suspect Zero","Carrie-Anne Moss",-18287436,5.5
"The Greatest Story Ever Told","Carroll Baker",-4526667,6.4
"Return to Me","Carroll O'Connor",8662299,6.3
"Aliens in the Attic","Carter Jenkins",14551283,5.4
"Ella Enchanted","Cary Elwes",-12086323,6.2
"Quest for Camelot","Cary Elwes",-1827500,6.9
Notorious,"Cary Grant",22464742,7.9
Doomsday,"Caryn Peterson",-11378812,5.8
"Manchester by the Sea","Casey Affleck",69233867,7.5
"200 Cigarettes","Casey Affleck",852450,5.9
Primer,"Casey Gooden",834926,6.9
"The Big Short","Casey Groves",105162752,7.3
"Starship Troopers","Casper Van Dien",21100000,6.8
"Left Behind","Cassi Thomson",4769209,4
Bandits,"Cate Blanchett",-3476729,6.3
"The Aviator","Cate Blanchett",98370892,7.1
"The Missing","Cate Blanchett",-26746567,6.3
"Synecdoche, New York","Catherine Keener",-15616462,7.6
"What Just Happened","Catherine Keener",-24587877,5.4
"The Soloist","Catherine Keener",-21477550,6.6
"The Ballad of Jack and Rose","Catherine Keener",-373742,6.4
"Monster House","Catherine O'Hara",66267370,6.5
"Away We Go","Catherine O'Hara",-10891984,6.8
"The Haunting","Catherine Zeta-Jones",100188905,5.3
Casper,"Cathy Moriarty",227300000,6.2
"Ocean's Eleven","Cecelia Ann Birt",365728529,7.3
"The Beast from 20,000 Fathoms","Cecil Kellaway",4790000,6.7
"Code Name: The Cleaner","Cedric the Entertainer",-11864976,4.6
"Johnson Family Vacation","Cedric the Entertainer",19286759,4.6
"Bridget Jones's Diary","Celia Imrie",256527158,6.7
"The Mule","Cesar De León",120738684,6.5
"The Haunting of Molly Hartley","Chace Crawford",10318257,4.3
"Left Behind","Chad Michael Murray",4769209,4
Waterworld,"Chaim Jeraffi",89246220,6
"Darkness Falls","Chaney Kley",40289758,5.2
"The Son of No One","Channing Tatum",-13851422,5.1
Stop-Loss,"Channing Tatum",-13770965,6.2
"The Golden Child","Charles Dance",67817937,5.7
"The Best Little Whorehouse in Texas","Charles Durning",49201637,6
"The Hudsucker Proxy","Charles Durning",-25061851,7.2
"The Sting","Charles Durning",154116327,8.1
Ishtar,"Charles Grodin",-25624819,4.4
"The Untouchables","Charles Martin Smith",51270454,7.8
"Random Hearts","Charles S. Dutton",-800000,5.4
"Shut In","Charlie Heaton",1360665,5.2
"Lean on Pete","Charlie Plummer",-5544973,7
"Never Let Me Go","Charlie Rowe",-3826282,6.8
"Money Talks","Charlie Sheen",16076865,5.9
"The Big Short","Charlie Talbert",105162752,7.3
"Diary of a Wimpy Kid: The Long Haul","Charlie Wright",13609577,5.7
"Sweet November","Charlize Theron",25754228,6.6
Hancock,"Charlize Theron",474234272,6.2
Monster,"Charlize Theron",59240813,7.2
"The Golden Child","Charlotte Lewis",67817937,5.7
Casper,"Chauncey Leopardi",227300000,6.2
"Down to Earth","Chazz Palminteri",41172251,5.2
"Analyze This","Chazz Palminteri",146885658,6.4
"Modern Problems","Chevy Chase",16474312,5.3
Caddyshack,"Chevy Chase",33846344,6.7
Zoom,"Chevy Chase",-22493812,5.1
"Mercury Rising","Chi McBride",-27016668,6.2
"Let Me In","Chloë Grace Moretz",8270399,6.7
Antibirth,"Chloë Sevigny",-2500000,4.8
"Spirit: Stallion of the Cimarron","Chopper Bernet",26515310,7.6
"American Splendor","Chris Ambrose",6685632,7.3
"Shark Night 3D","Chris Carmack",-6122847,5
"The Bourne Identity","Chris Cooper",154357371,7.4
"Lone Star","Chris Cooper",7961389,7.1
Krisha,"Chris Doubek",114822,6.8
"Snow Day","Chris Elliott",49452927,5
TMNT,"Chris Evans",61096018,5.9
Rush,"Chris Hemsworth",60230839,7.7
"Corky Romano","Chris Kattan",14116103,4.2
Monkeybone,"Chris Kattan",-69590483,4.4
Election,"Chris Klein",8702854,6.8
Rollerball,"Chris Klein",-44147492,3.8
"Pale Rider","Chris Penn",34510568,7.1
"Doug's 1st Movie","Chris Phillips",14421271,5.4
"Just My Luck","Chris Pine",10159905,6
"People Like Us","Chris Pine",-3382528,6.8
"Action Point","Chris Pontius",-13896325,5.2
"Bride Wars","Chris Pratt",85150424,6.1
Passengers,"Chris Pratt",192239672,6.9
"I Think I Love My Wife","Chris Rock",-794589,5.2
"Head of State","Chris Rock",3083765,5.5
"Top Five","Chris Rock",14001741,6.2
"The Longest Yard","Chris Rock",109558505,6.4
"Down to Earth","Chris Rock",41172251,5.2
"Money Talks","Chris Tucker",16076865,5.9
PCU,"Chris Young",-4666431,6.3
"The New World","Christian Bale",-3815600,6.5
"Public Enemies","Christian Bale",109782709,6.6
Equilibrium,"Christian Bale",-14654131,7
"K-19: The Widowmaker","Christian Camargo",-24283874,6.4
"Just Visiting","Christian Clavier",-23827800,4.6
Equilibrium,"Christian Kahrmann",-14654131,7
"Alone in the Dark","Christian Slater",-9411921,3.2
"Public Enemies","Christian Stolte",109782709,6.6
"Just Visiting","Christina Applegate",-23827800,4.6
"The Big Hit","Christina Applegate",14066941,5.9
Pulse,"Christina Milian",9741435,4.9
"Bucky Larson: Born to Be a Star","Christina Ricci",-7470605,4.2
Monster,"Christina Ricci",59240813,7.2
"A Bad Moms Christmas","Christine Baranski",99710550,6.3
"Child's Play 2","Christine Elise",21166572,5.9
"DodgeBall: A True Underdog Story","Christine Taylor",137791704,6.2
Zoolander,"Christine Taylor",32780981,6.2
Doomsday,"Christine Tomlinson",-11378812,5.8
"The Passion of the Christ","Christo Jivkov",597341924,7.1
Downsizing,"Christoph Waltz",-13537029,5.1
"Graduation Day","Christopher George",23644000,5
Highlander,"Christopher Lambert",-3100000,6.9
"Baby Geniuses","Christopher Lloyd",14151490,3.7
"House Party 2","Christopher Martin",14438638,4.9
"Enough Said","Christopher Nicholas Smith",17621449,6.7
"The New World","Christopher Plummer",-3815600,6.5
"The Remains of the Day","Christopher Reeve",48954968,7.6
"House Party 2","Christopher Reid",14438638,4.9
"The Florida Project","Christopher Rivera",9295324,7.4
"Letters to God","Christopher Schmidt",237452,6.9
"The Core","Christopher Shyer",-10879208,5.6
"Heaven's Gate","Christopher Walken",-40515477,6.7
"A View to a Kill","Christopher Walken",122627960,6.2
"The Dead Zone","Christopher Walken",10766000,7
"Blast from the Past","Christopher Walken",-8386380,6.4
"Lone Wolf McQuade","Chuck Norris",7232628,6
Munich,"Ciarán Hinds",56492772,7.1
"Because of Winn-Dixie","Cicely Tyson",18508485,6.2
Tron,"Cindy Morgan",9918576,6.7
"The Odd Life of Timothy Green","CJ Adams",15249159,6.7
"No Escape","Claire Geare",37844516,6.8
Highlander,"Clancy Brown",-3100000,6.9
"When the Game Stands Tall","Clancy Brown",15138912,6.6
"The Black Stallion","Clarence Muse",35099643,7.1
"It Happened One Night","Clark Gable",2175000,7.9
"San Francisco","Clark Gable",3973000,6.9
Notorious,"Claude Rains",22464742,7.9
"It Happened One Night","Claudette Colbert",2175000,7.9
